source_country_iso3_code,destination_country_iso3_code,Diploma,Comparable to NLD,Comparable to AUS,Comparable to GBR
HUN,NLD,Egyetemi mesterképzés,a WO master's degree,Research master's degree,MA/MSc by research
HUN,NLD,Egyetemi oklevél osztatlan mesterkepzés,a WO master's degree,Research master's degree,MA/MSc by research
HUN,NLD,Főiskolai oklevél mesterképzés,an HBO master's degree,,
ISL,NLD,Sveinspróffrom anIðnskóliorSérskóli,"an MBO diploma level 2, 3 or 4",,
ISL,NLD,Stúdentspróf(Matriculation Examination) from aMenntaskóli,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
ISL,NLD,Baccalaureus(bachelor),an HBO bachelor's degree or a WO bachelor’s degree,,
ISL,NLD,Master,an HBO master's degree or a WO master’s degree,,
ISL,NLD,Candidatus/Kandídatsprófin dentistry,a WO master’s degree,,
ISL,NLD,Candidatus/Kandídatsprófin medicine,a WO master’s degree,,
IND,NLD,Standard X diploma from a board,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
IND,NLD,"Diploma from a state board(or an equivalent), obtained after a Standard X diploma",usually an MBO diplomalevel 4,,
IND,NLD,Vocational Standard XII diploma from a boardwith apassin 5relevant subjects,an MBO diplomalevel 4,,
IND,NLD,Standard XII diploma from a state boardwith a pass in 5 relevant subjects,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
IND,NLD,All India Senior School Certificate from the CBSE,"a HAVO diploma if obtained with apassin 5relevant subjects;a VWO diploma if obtained with an A1, A2 or B1 in 5 relevant subjects.",,
IND,NLD,Indian School Certificate from the CISCE,a HAVO diploma if obtained with a pass in 5 relevant subjects;a VWO diploma if obtained with an average result of at least 75% in 5 relevant subjects.,,
IND,NLD,Migration Cum Transfer Certificate of the Senior Secondary School Examination from the NIOS,"a HAVO diploma if obtained with a pass in 5 relevant subjects;a VWO diploma if obtained with an A, B or C in 5 relevant subjects.",,
IND,NLD,Diploma in Engineering(duration: 3 years),usually 1 year of HBO,,
IND,NLD,Diploma in General Nursing and Midwiferyfrom a board or council,2 years of HBO,,
IND,NLD,Bachelor of Arts (Pass),2 years of WO,,
IND,NLD,Bachelor of Arts (Honours),2 years of WO or (if obtained with at leastfirst class/divisionand awarded by atop institution) a WO bachelor's degree,,
IND,NLD,Bachelor of Commerce (Pass),3 years of HBO,,
IND,NLD,Bachelor of Commerce (Honours),an HBO bachelor's degree or (If obtained with at leastfirst class/divisionand awarded by atop institution) an HBO or WO bachelor's degree.,,
IND,NLD,Bachelor of Computer Applications (BCA),3 years of HBO,,
IND,NLD,Bachelor of Science (Pass),2 years of WO,,
IND,NLD,Bachelor of Science (Honours),2 years of WO or (if obtained with at leastfirst class/divisionand awarded by atop institution) a WO bachelor's degree,,
IND,NLD,Bachelor of Education,an HBO bachelor’s degree or a WO bachelor’s degree with an educational minor,,
IND,NLD,Bachelor of Engineering,an HBO bachelor's degree or (if obtained with at leastfirst class/divisionand awarded by atop institution) an HBO or WO bachelor's degree.,,
IND,NLD,Bachelor of Laws (LL.B.),a WO bachelor's degree,,
IND,NLD,Bachelor of Medicine and Bachelor of Surgery (MBBS),a WO bachelor's degree,,
IND,NLD,Bachelor of Technology,an HBO bachelor's degree or (if obtained with at leastfirst class/divisionand awarded by atop institution) an HBO or WO bachelor's degree.,,
IND,NLD,Post Graduate Diploma,usually a post-HBO qualification or an HBO master’s degree,,
IND,NLD,General master's degree,an HBO master’s degree or a1-year WO master’s degree,,
IND,NLD,Professional master's degree,an HBO master’s degree or a (1-year) WO master’s degree,,
IND,NLD,Dual/integrated master's degree,an HBO master’s degree or a (1-year) WO master’s degree,,
IND,NLD,Master of Philosophy,a WO master's degree,Research master's degree,MA/MSc by research
IDN,NLD,Ijazah Sekolah Menengah Kejuruan(SMK),an MBO diploma level 2 or 3,,
IDN,NLD,Ijazah Sekolah Menengah Atas(SMA),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
IDN,NLD,DiplomaI (D I),1 year of HBO,Diploma (AQF Level 5),
IDN,NLD,DiplomaII (D II),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
IDN,NLD,DiplomaIII (D III),3 years of HBO,,
IDN,NLD,DiplomaIV (D IV),an HBO bachelor's degree,,
IDN,NLD,SarjanaI (S I),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
IDN,NLD,SarjanaII (S II),an HBO master's degree or a WO master's degree,,
UNK,NLD,Certificate of general educationگواهینامه دوره راهنمایی,2 years of HAVO,,
UNK,NLD,Certificate of completion of upper secondary school studies – work and knowledgeگواهينامه پايان تحصيلات دوره (دوم) متوسطه - کاردانش(from 2019),an MBO diploma level 2 or 3,,
UNK,NLD,Certificate of completion of secondary school studies - technical and vocationalگواهينامه پايان تحصيلات دوره متوسطه - فنی وحرفه ای(before 2019),an MBO diploma level 2 or 3,,
UNK,NLD,Certificate of completion of secondary school studies - theoreticalگواهينامه پايان تحصيلات دوره متوسطه - نظری(before 2019),4 years of HAVO,,
UNK,NLD,Certificate of completion of upper secondary school studies – technical and vocationalگواهينامه پايان تحصيلات دوره دوم متوسطه- فنی و حرفه ای(from 2019),a HAVO diploma for the general education part,,
UNK,NLD,Certificate of completion of upper secondary school studies – theoreticalگواهينامه پايان تحصيلات دوره دوم متوسطه - نظری(from 2019),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,Pre-university certificateگواهینامه پايان دوره پیش دانشگاهی,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,Associate degreeکاردانی,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
UNK,NLD,Bachelorکارشناسی,an HBO bachelor's degree or 2 years of WO,,
UNK,NLD,Professional Doctorateدکتری حرفه ای,Please contact us for acredential evaluation,,
UNK,NLD,Masterکارشناسی ارشد,a 1-year WO master's degree,,
IRQ,NLD,Intermediate Baccalaureate /شهادة الدراسة المتوسطة,2 years of HAVO,,
IRQ,NLD,Vocational Secondary School Certificate /شهادة الدراسة الإعدادية المهنية,an MBO diploma level 2 or 3,,
IRQ,NLD,Secondary School Certificate/Baccalaureate /وثيقة مدرسية / المرحلة الإعدادية,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
IRQ,NLD,Technical Diploma /دبلوم فني,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
IRQ,NLD,Bachelor's degree /البكالوريوسfrom a technical institute,an HBO bachelor's degree,,
IRQ,NLD,Bachelor's degree /البكالوريوسfrom a higher institute or university,an HBO's bachelor degree or 2 years of WO,,
IRQ,NLD,Bachelor's degree /البكالوريوسin dentistry/البكالوريوس في طب الأسنان,a WO bachelor's degree,,
IRQ,NLD,Bachelor's degree /البكالوريوسin pharmacology/البكالوريوس في الصيدلة,a WO bachelor's degree,,
IRQ,NLD,Bachelor's degree /البكالوريوسin veterinary medicine/البكالوريوس في الطب البيطري,a WO bachelor's degree,,
IRQ,NLD,Bachelor's degree /البكالوريوسin medicine/البكالوريوس في الطب البشري,1 year of a 3-year WO master's programme in medicine,,
IRQ,NLD,Higher Diploma /دبلوم عالي,usually a 1-year WO master's degree,,
IRQ,NLD,Master's degree /الماجستير,a 1-year WO master's degree,,
IRL,NLD,Junior Certificate,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
IRL,NLD,Leaving Certificate - Leaving Certificate Applied (LCA) programme,an MBOdiploma level 2 or 3,,
IRL,NLD,Leaving Certificate - Leaving Certificate Established (LCE) programme:at least 5 subjects of the LCE programme;including 5 subjects with at leastO6 or H7; andat least 200CAO points.,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
IRL,NLD,Leaving Certificate - Leaving Certificate Established (LCE) programme:at least 6 subjects of the LCE programme;including at least 2 subjects withH5or higher;4 subjects with at least O6 or H7; andat least 350CAO points.,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
IRL,NLD,Leaving Certificate - Leaving Certificate Vocational Programme (LCVP):at least 5 subjects and the Link Modules;including 5 subjects with at leastO6 or H7; andat least 200CAO points.,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
IRL,NLD,Leaving Certificate - Leaving Certificate Vocational Programme (LCVP):at least 6 subjects and the Link Modules;including at least 2 subjects withH5or higher;4 subjects with at least O6 or H7; andat least 350CAO points.,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
IRL,NLD,Level 5 Certificate,anMBOdiploma level 4,,
IRL,NLD,Level 6 Advanced Certificate,1 year of HBO,Diploma (AQF Level 5),
IRL,NLD,Higher Certificate,2 years of HBO or 1 year of WO,,
IRL,NLD,Ordinary bachelor’s degree,3 years of HBO or 2 years of WO,,Diploma of Higher Education (DipHE) with a study load of 240 CATS
IRL,NLD,Honours bachelor’s degree,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
IRL,NLD,Master’s degree,an HBO master's degree or a WO master's degree,,
IRL,NLD,Master of Philosophy,a WO master's degree,Research master's degree,MA/MSc by research
ISR,NLD,Technaiטכנאי(Professional Certificate),an MBO diploma level 2 or 3,,
ISR,NLD,Te’udat Bagrutתעודת בגרות(Matriculation Certificate),a HAVO diploma or a VWO diploma,,
ISR,NLD,Handassaiהנדסאי(Practical Engineer),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
ISR,NLD,Bachelor's degreeבוגר אוניברסיטה\תואר ראשון,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
ISR,NLD,Master's degreeמוסמך אוניברסיטה\תואר שני,an HBO master's degree or a WO master's degree,,
ITA,NLD,Diploma di licenza conclusiva del primo ciclo di istruzione,at least 2½ years of general secondary education,,
ITA,NLD,Diploma di qualifica,an MBO diploma level 2 or 3,,
ITA,NLD,Diploma di superamento dell’esame di stato conclusivofrom anistituto professionale,a HAVO diploma for the general education part,,
ITA,NLD,Diploma di superamento dell’esame di stato conclusivofrom aliceo classico/linguistico/scientifico/scienze umane,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
ITA,NLD,"Diploma di superamento dell’esame di stato conclusivofrom anistituto tecnico, liceo artistico of liceo musicale e coreutico","usually a HAVO diploma, sometimes a VWO diploma",,
ITA,NLD,Diploma di tecnico superiore,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
ITA,NLD,Laurea,"usually a WO bachelor's degree, sometimes a HBO bachelor's degree",,
ITA,NLD,Diploma accademico di primo livello,an HBO bachelor's degree,,
ITA,NLD,Diploma di mediatore linguistico,an HBO bachelor's degree,,
ITA,NLD,Laurea magistrale,a WO master's degree,Research master's degree,MA/MSc by research
ITA,NLD,Laurea specialistica,a WO master's degree,Research master's degree,MA/MSc by research
ITA,NLD,Diploma accademico di secondo livello,an HBO master's degree,,
ITA,NLD,Diploma di specializzazione di primo livello,an HBO master's degree or a WO master's degree,,
ITA,NLD,Master universitario di primo livello,"usually an HBO master's degree, sometimes a WO master's degree",Coursework master's degree,
ITA,NLD,Master universitario di secondo livello,an HBO master's degree or a WO master's degree,,
JPN,NLD,High School Certificate of Graduation(卒業証明書Sotsugyoshomeisho),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
JPN,NLD,Associate (Diploma) from a college of technology,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
JPN,NLD,Diploma (専門士Senmonshi) from a professional training college(duration: 2 years),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
JPN,NLD,Associate degree from a junior college(duration: 2 years),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
JPN,NLD,Associate degree from a junior college (duration: 3 years),3 years of HBO,,
JPN,NLD,Advanced Diploma(高度専門士Kodo senmonshi) from a professional training college (duration: 4 years),an HBO bachelor's degree,,
JPN,NLD,Bachelor's degree (学士Gakushi),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
JPN,NLD,Bachelor's degree (学士Gakushi)from the NIAD-QE,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
JPN,NLD,Master's degree (修士Shushi),an HBO master's degree or a WO master's degree,,
JOR,NLD,Vocational Secondary Education Certificate /شهادة الدراسة الثانوية العامة الأردنية للفروع المهنية,an MBO diploma level 2 or 3,,
JOR,NLD,General Secondary Education Certificate /شهادة الدراسة الثانوية العامة,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
JOR,NLD,Bachelor’s degree /البكالوريوس(duration: 4 years),an HBO bachelor’s degree or 2 years of WO,,
JOR,NLD,Bachelor’s degree -البكالوريوس(duration: 5 years),a WO bachelor’s degree,,
JOR,NLD,Bachelor's degree /البكالوريوسin medicine (duration: 6 years),a WO bachelor’s degree,,
JOR,NLD,Master's degree /الماجستير,a 1-year HBO master's degree or a 1-year WO master’s degree,,
KAZ,NLD,Негізгі мектепті бітіргендігі туралы күəлік/Свидетельство о неполном среднем образовании(certificate of incomplete secondary education),3 years of general secondary education,,
KAZ,NLD,Жалпы Oрта білім туралы аттестат/Аттестат об общем среднем образовании(certificate of completed general secondary education),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
KAZ,NLD,Кәсіптік орта білім туралы диплом/Диплом о профессиональном образовании(diploma of secondary vocational education),a HAVO diploma for the general education part,,
KAZ,NLD,Nazarbayev Intellectual Schools (NIS) Grade 12 Certificate,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
KAZ,NLD,Бакалавр дипломы/Диплом бакалавра(bachelor's degree),an HBO bachelor’s degree or WO bachelor's degree,,
KAZ,NLD,"Мамаң дипломы/Диплом Специалист(specialist diploma), (duration: 5 years",a WO bachelor's degree or an HBO master's degree,,
KAZ,NLD,Mагистр дипломы/Диплом магистра(master's degree),an HBO master's degree or a WO master's degree,,
KEN,NLD,"Kenya Certificate of Secondary Education with an A, B or C for less than 6 subjects",a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
KEN,NLD,"Kenya Certificate of Secondary Education with an A, B or C for at least 6 subjects",a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
KEN,NLD,"Diplomafrom an institute of technology, a technical training institute or a university","an MBO diploma level 2, 3 or 4 or 1 or 2 years of HBO",,
KEN,NLD,Bachelor's degree (duration: 4 years),an HBO bachelor's degree or 2 years of WO,,
KEN,NLD,Bachelor's degree (duration: 5 years),a WO bachelor's degree,,
KEN,NLD,Bachelor of Medicine and Bachelor of Surgery,1 year of a 3 year WO master's programme in medicine,,
KEN,NLD,Master's degree (duration: 1-2 years),an HBO master's degree or a WO master's degree,,
LVA,NLD,Atestāts par arodizglītību,an MBO diploma level 1 or 2,,
LVA,NLD,Apliecība par profesionālo pamaztizglītību,an MBO diploma level 2 or 3,,
LVA,NLD,Diploms par profesionālo vidējo izglītību,a HAVO diploma for the general education part,,
LVA,NLD,Atestāts par vispārējo vidējo izglītību,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
LVA,NLD,Diploms par pirmā līmeņa profesionālo augstāko izglītbu,2 or 3 years of HBO,,
LVA,NLD,"Bakalaura Diplomsfrom anakadēmija,augstskola,institūtsoruniversitāte",an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
LVA,NLD,Profesionālā Bakalaura Diploms,an HBO bachelor's degree,,
LVA,NLD,Profesionāla Maģistra Diploms,an HBO master's degree,,
LVA,NLD,"Mağistra Diplomsfrom anakadēmija,augstskola,institūtsoruniversitāte",an HBO master's degree or a WO master's degree,,
LBN,NLD,Baccalauréat Technique/البكالوريا الفنية,an MBO diploma level 2 or 3,,
LBN,NLD,Baccalauréat/ General Secondary Education Certificate/شهادة الثانوية العامة / البكالوريا,at least a HAVO diploma,,
LBN,NLD,Licence Technique/الاجازة الفنية,3 years of HBO,,
LBN,NLD,Bachelor /Licence/بكالوريوس/الإجازة(duration: 3 years),3 years of HBO or 2 years of WO,,Diploma of Higher Education (DipHE) with a study load of 240 CATS
LBN,NLD,Bachelor /Licence/بكالوريوس/الإجازة(duration: 4 years),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
LBN,NLD,Bachelor /Licence/الإجازة/بكالوريوس(duration: 5 years),at least a WO bachelor's degree,,
LBN,NLD,Master /الماجستير,an HBO master's degree or a WO master's degree,,
LTU,NLD,Pagrindinio Išsilavinnivo Pažymejimas,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
LTU,NLD,Kvalificacijos Pažymejimas/Profesinio Mokymo Diplomas,"an MBO diploma level 2, 3 or 4",,
LTU,NLD,Brandos Atestatas,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
LTU,NLD,Profesinis Bakalauras Diplomas/Aukštojo Mokslo Diplomas,an HBO bachelor’s degree,,
LTU,NLD,Bakalauro Diplomas,an HBO bachelor's degree or a WO bachelor’s degree,,
LTU,NLD,Magistro Diplomas,an HBO master's degree or a WO master’s degree,,
LUX,NLD,Certificat de capacité professionnelle(CCP),an MBO diploma level 2,,
LUX,NLD,Diplôme d'aptitude professionelle(DAP),an MBO diploma level 3,,
LUX,NLD,Diplôme de technicien(DT),an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
LUX,NLD,Diplôme de fin d’études secondaires générales(before 2017:Diplôme de fin d’études techniques),a VWO diploma and an MBO diploma level 3 or 4,,
LUX,NLD,Diplôme de fin d'études secondaires classiques(before 2017:Diplôme de fin d’études secondaires),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
LUX,NLD,Brevet de technicien supérieur(BTS),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
LUX,NLD,Brevet de maîtrise,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
LUX,NLD,Bachelor's degree,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
LUX,NLD,Master's degree,an HBO master's degree or a WO master's degree,,
MYS,NLD,Sijil Pelajaran Malaysia Vokasional,an MBO diploma level 1 or 2,,
MYS,NLD,Diplomafrom a community college,an MBO diploma level 3 or 4,,
MYS,NLD,Sijil Pelajaran Malaysia,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
MYS,NLD,Unified Examination Certificate,at least a HAVO diploma;a VWO diploma if the student has a score of B3 or higher in all subjects,,
MYS,NLD,Sijil Tinggi Persekolahan Malaysia/Matriculation Certificate,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
MYS,NLD,Polytechnic/MARA Certificate,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
MYS,NLD,Polytechnic/MARA Diploma,3 years of HBO,,
MYS,NLD,Bachelor's degree,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
MYS,NLD,Master's degree,an HBO master's degree or a WO master's degree,,
MEX,NLD,Técnico,an MBO diploma level 2 or 3,,
MEX,NLD,Certificado de terminación de estudios – bachillerato general,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
MEX,NLD,Certificado de terminación de estudios - bachiller técnologico,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
MEX,NLD,Técnico superior universitario(duration: 2 years),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
MEX,NLD,Técnico superior universitario(duration: 3 years),Please contact us for acredential evaluation,,
MEX,NLD,Licenciada/o,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
MEX,NLD,Maestra/o,an HBO master's degree or a WO master's degree,,
UNK,NLD,Certificat de studii gimnaziale,3 years of general secondary education,,
UNK,NLD,Diplomă de studii profesionale,an MBO diploma level 3 or 4,,
UNK,NLD,Diplomă de bacalaureat,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,Diplomă(de studii superioare)de licenţă,an HBO bachelor's degree or a WO bachelor’s degree,,
UNK,NLD,Diplomă(de studii superioare)de master,an HBO master's degree or a WO master’s degree,,
MAR,NLD,Attestation du Baccalauréat,at least a HAVO diploma,,
MAR,NLD,Baccalauréat d’Enseignement Technologique et Professionnel,a HAVO diploma with vocational subjects,,
MAR,NLD,Diplôme de Technicien,an MBO diploma level 3 or 4,,
MAR,NLD,Brevet de Technicien Supérieur(BTS),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
MAR,NLD,Diplôme de Technicien Spécialisé,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
MAR,NLD,Diplôme Universitaire de Technologie(DUT),at least 2 years of HBO,,
MAR,NLD,Licence d’Études Fondamentales,2 years of WO,,
MAR,NLD,Licence Professionnelle,3 years of HBO,,
MAR,NLD,Diplôme d’Ingénieur d’Application,an HBO bachelor's degree,,
MAR,NLD,Diplôme d’Ingénieur d’État,1 year of a 2-year WO master’s programme,,
MAR,NLD,Master Spécialisé,an HBO master’s degree,,
MAR,NLD,Master,a 1-year WO master’s degree,,
NPL,NLD,"Certificate – Secondary Education Examinations, Grade-10(from 2017 onwards)",a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
NPL,NLD,Certificate – School Leaving Certificate Examination(before 2017),a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
NPL,NLD,"Migration Certificate – School Leaving Certificate (Grade XI-XII)obtained between 2017 and 2021 and with apassfor:English or Nepali;chemistry, mathematics and physics; andat least 4 differentsubjects of the technical and vocational stream.",an MBO diploma level 3 or 4,,
NPL,NLD,Migration Certificate – School Leaving Certificate (Grade XI-XII)obtained between 2017 and 2021 and with apassfor:English or Nepali; andat least 4 differentsubjects of the education or management stream.,a HAVO diploma with vocational subjects,,
NPL,NLD,"Migration Certificate – School Leaving Certificate (Grade XI-XII)obtained between 2017 and 2021 and with apassfor:English or Nepali; andat least 4 differentsubjects of the humanities, law or science stream.",a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
NPL,NLD,"Migration Certificate – School Leaving Certificate (Grade XI-XII), obtained in 2022 or later",Please contact us for acredential evaluation,,
NPL,NLD,"Migration Certificate – Higher Secondary Secondary Education Board Examinationswith a pass for:English or Nepali;chemistry, mathematics and physics; andat least 4 differentsubjects of the technical and vocational stream.",an MBO diploma level 3 or 4,,
NPL,NLD,Migration Certificate – Higher Secondary Secondary Education Board Examinationswith a pass for:English or Nepali; andat least 4 differentsubjects of the education or management stream.,a HAVO diploma with vocational subjects,,
NPL,NLD,"Migration Certificate – Higher Secondary Secondary Education Board Examinationswith a pass for:English or Nepali; andat least 4 differentsubjects of the humanities, law or science stream.",a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
NPL,NLD,Bachelor’s degree(duration: 3 years),3 years of HBO or 1 year of WO,,
NPL,NLD,Bachelor’s degree(duration: 4 years),an HBO bachelor's degree or 2 years of WO,,
NPL,NLD,Bachelor’s degree(duration: at least 5 years),a WO bachelor's degree,,
NPL,NLD,Bachelor of Education,Please contact us for acredential evaluation,,
NPL,NLD,Bachelor of Laws (LL.B),a WO bachelor's degree,,
NPL,NLD,Post Graduate Diploma,Please contact us for acredential evaluation,,
NPL,NLD,Master's degree,Please contact us for acredential evaluation,,
NPL,NLD,Master of Philosophy (MPhil),a WO master's degree,Research master's degree,MA/MSc by research
